graph_path,type,order,density,id,runtime_igraph,is_perfect_igraph,runtime_ours,is_perfect_ours
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_25000_00006.txt,IMH,00075,25000,00006,4049,1,11,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_25000_00007.txt,IMH,00075,25000,00007,4265,1,13,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_25000_00008.txt,IMH,00075,25000,00008,4147,1,9,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_25000_00009.txt,IMH,00075,25000,00009,3997,1,10,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_25000_00010.txt,IMH,00075,25000,00010,4371,1,15,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_50000_00001.txt,IMH,00075,50000,00001,4177,1,13,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_50000_00002.txt,IMH,00075,50000,00002,4353,1,13,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_50000_00003.txt,IMH,00075,50000,00003,4223,1,14,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_50000_00004.txt,IMH,00075,50000,00004,4129,1,14,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_50000_00005.txt,IMH,00075,50000,00005,4958,1,18,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_50000_00006.txt,IMH,00075,50000,00006,4220,1,13,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_50000_00007.txt,IMH,00075,50000,00007,4147,1,12,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_50000_00008.txt,IMH,00075,50000,00008,4239,1,13,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_50000_00009.txt,IMH,00075,50000,00009,4225,1,13,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_50000_00010.txt,IMH,00075,50000,00010,4252,1,14,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_75000_00001.txt,IMH,00075,75000,00001,4082,1,12,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_75000_00002.txt,IMH,00075,75000,00002,3733,1,10,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_75000_00003.txt,IMH,00075,75000,00003,4139,1,11,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_75000_00004.txt,IMH,00075,75000,00004,4250,1,13,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_75000_00005.txt,IMH,00075,75000,00005,4503,1,13,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_75000_00006.txt,IMH,00075,75000,00006,3972,1,12,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_75000_00007.txt,IMH,00075,75000,00007,3948,1,10,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_75000_00008.txt,IMH,00075,75000,00008,3851,1,11,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_75000_00009.txt,IMH,00075,75000,00009,4118,1,12,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_75000_00010.txt,IMH,00075,75000,00010,4106,1,11,1
