graph_path,type,order,density,id,runtime_ours,is_perfect_ours
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_25000_00001.txt,perfectOperations,01000,25000,00001,30185,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_25000_00002.txt,perfectOperations,01000,25000,00002,31901,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_25000_00003.txt,perfectOperations,01000,25000,00003,40366,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_25000_00004.txt,perfectOperations,01000,25000,00004,35119,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_25000_00005.txt,perfectOperations,01000,25000,00005,29255,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_25000_00006.txt,perfectOperations,01000,25000,00006,33500,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_25000_00007.txt,perfectOperations,01000,25000,00007,41182,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_25000_00008.txt,perfectOperations,01000,25000,00008,35585,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_25000_00009.txt,perfectOperations,01000,25000,00009,35971,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_25000_00010.txt,perfectOperations,01000,25000,00010,33203,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_50000_00001.txt,perfectOperations,01000,50000,00001,37684,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_50000_00002.txt,perfectOperations,01000,50000,00002,36132,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_50000_00003.txt,perfectOperations,01000,50000,00003,39560,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_50000_00004.txt,perfectOperations,01000,50000,00004,33671,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_01000_50000_00005.txt,perfectOperations,01000,50000,00005,35125,1
